Unnamed: 0,Author,Book Name,imagePaths
393,Square Enix,Nier: Automata World Guide Volume 1,data/covers/0000394.jpg
394,Ken Schwaber,Agile Project Management with Scrum,data/covers/0000395.jpg
395,Martin Fowler,UML Distilled,data/covers/0000396.jpg
396,Alberto Cairo,The Functional Art,data/covers/0000397.jpg
397,Francis Glebas,Directing the Story,data/covers/0000398.jpg
398,AXELOS,PRINCE2 Agile,data/covers/0000399.jpg
399,Norman Matloff,The Art Of R Programming,data/covers/0000400.jpg
400,Michael Janda,Burn Your Portfolio,data/covers/0000401.jpg
401,Nathan Yau,Visualize This,data/covers/0000402.jpg
402,Steven Kent,Ultimate History Video Games,data/covers/0000403.jpg
403,Sarah Guthals,Modding Minecraft,data/covers/0000404.jpg
404,Stefan G. Bucher,344 Questions,data/covers/0000405.jpg
405,Georgia Weidman,Penetration Testing,data/covers/0000406.jpg
406,Roberto Valenzuela,Picture Perfect Practice,data/covers/0000407.jpg
407,Marijn Haverbeke,"Eloquent Javascript, 2nd Ed.",data/covers/0000408.jpg
408,Brett Slatkin,Effective Python,data/covers/0000409.jpg
409,David Evans,How to Write a Better Thesis,data/covers/0000410.jpg
410,John Halas,Timing for Animation,data/covers/0000411.jpg
411,Adobe Creative Team,Adobe InDesign CS6 Classroom in a Book,data/covers/0000412.jpg
412,David Kushner,Masters of Doom,data/covers/0000413.jpg
413,Paul Davies,The Art of Deus Ex Universe,data/covers/0000414.jpg
414,Shon Harris,"CISSP All-in-One Exam Guide, Seventh Edition",data/covers/0000415.jpg
415,Various,The Art Of Fire Emblem,data/covers/0000416.jpg
416,Daniele Benedettelli,The Lego Mindstorms Ev3 Laboratory,data/covers/0000417.jpg
417,Jeanne Boyarsky,OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide,data/covers/0000418.jpg
418,Eric Freeman,Head First JavaScript Programming,data/covers/0000419.jpg
419,Iain Macintosh,Football Manager Stole My Life,data/covers/0000420.jpg
420,The Try Guys,The Hidden Power of F*cking Up,data/covers/0000421.jpg
421,Ian McLean,Configuring Windows (R) 7 (Corrected Reprint Edition),data/covers/0000422.jpg
422,Alan Cooper,The Inmates Are Running the Asylum,data/covers/0000423.jpg
423,Martin Robinson,The Art of Dead Space,data/covers/0000424.jpg
424,Russ Unger,A Project Guide to UX Design,data/covers/0000425.jpg
425,Greg Harvey,Excel 2010 All-in-One For Dummies,data/covers/0000426.jpg
426,Jamie Bartlett,The Dark Net,data/covers/0000427.jpg
427,Jr.  David Kennedy,Metasploit,data/covers/0000428.jpg
428,Steven Levy,Hackers,data/covers/0000429.jpg
429,Mark Lutz,Programming Python,data/covers/0000430.jpg
430,Adrienne Kress,Dreams Come to Life,data/covers/0000431.jpg
